simil,paths
0.1499277141,"['http://dbpedia.org/resource/John_Culberson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Vote_13030000\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Send_11010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Year\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Town\n', 'http://dbpedia.org/resource/Alabama\n', 'http://schema.org/AdministrativeArea\n', 'http://dbpedia.org/resource/Texas\n']"
0.1499277141,"['http://dbpedia.org/resource/John_Culberson\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Vote_13030000\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Distinguish\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n']"
0.151551387,"['http://dbpedia.org/resource/Michael_Bloomberg\n', 'http://schema.org/Person\n', 'http://dbpedia.org/resource/Chuck_Schumer\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SteamyAffair\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HighSchoolCheerleader\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#School\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Send_11010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Card\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fellow\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n']"
0.151551387,"['http://dbpedia.org/resource/Michael_Bloomberg\n', 'http://schema.org/Person\n', 'http://dbpedia.org/resource/Chuck_Schumer\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SteamyAffair\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HighSchoolCheerleader\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#School\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Send_11010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Card\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Distinguish\n', 'http://dbpedia.org/resource/Republican_Party_(United_States)\n']"
0.15315274680000002,"['http://dbpedia.org/resource/New_York_State_Senate\n', 'http://schema.org/Organization\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fellow\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n']"
0.1540105555,"['http://dbpedia.org/resource/Long_Island\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Find_13051000\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Card\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Send_11010100\n', 'http://dbpedia.org/resource/Twitter\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Address_25030000\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fact\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#That\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Percent\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Compare\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#More\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Shooting\n', 'http://dbpedia.org/resource/Florida\n', 'http://schema.org/AdministrativeArea\n', 'http://dbpedia.org/resource/New_York\n']"
0.1540105555,"['http://dbpedia.org/resource/Long_Island\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Find_13051000\n', 'http://dbpedia.org/resource/Democratic_Party_(United_States)\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Card\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Send_11010100\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#HispanicPeople\n', 'http://dbpedia.org/resource/Hispanic\n']"
0.1548086944,"['http://dbpedia.org/resource/Ann_Coulter\n', 'http://dbpedia.org/resource/Arrest_warrant\n', 'http://dbpedia.org/resource/George_Soros\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Orchestrate\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#RacialProtest\n', 'http://dbpedia.org/resource/Charlottesville,_Virginia\n', 'http://schema.org/City\n', 'http://dbpedia.org/resource/New_York_City\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Neil_Armstrong\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://www.ontologydesignpatterns.org/ont/vn/data/Move_11020000\n', 'http://dbpedia.org/resource/Ohio\n', 'http://schema.org/BodyOfWater\n', 'http://dbpedia.org/resource/Ohio\n']"
0.15902632560000002,"['http://dbpedia.org/resource/Apollo_11\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#FirstMannedMoon\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MannedMoon\n', 'http://dbpedia.org/resource/Human_spaceflight\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MannedSpace\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MannedSpaceCraft\n', 'http://dbpedia.org/resource/Spacecraft\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Craft\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SmallRuralCraftShop\n', 'http://dbpedia.org/resource/England\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#SexAbuseTrial\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Reporting\n', 'http://dbpedia.org/resource/Tommy_Robinson_(activist)\n', 'http://dbpedia.org/resource/John_Ashe_(general)\n', 'http://dbpedia.org/resource/Neil_Armstrong\n', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Uttered\n', 'http://dbpedia.org/resource/Neil_Armstrong\n']"
